Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cost
7570,0.73,Ideal,D,VVS2,62.2,56.0,4252,5.79,5.73,3.58,7.153690893700373
7571,0.91,Very Good,D,SI1,59.3,58.0,4253,6.33,6.38,3.77,2.5350102958205687
7572,0.92,Very Good,D,SI1,60.7,58.0,4253,6.27,6.39,3.84,3.2391368686023436
7573,1.05,Ideal,J,SI1,62.3,56.0,4253,6.47,6.5,4.04,3.2213815671650003
7574,0.9,Good,F,VS2,59.8,61.0,4253,6.18,6.22,3.71,2.501968202722219
7575,0.9,Good,F,VS2,63.3,57.0,4253,6.04,6.09,3.84,6.891104148727387
7576,0.92,Very Good,E,SI1,63.0,57.0,4254,6.17,6.21,3.9,6.895507226995053
7577,0.9,Very Good,H,VS2,60.0,56.0,4255,6.3,6.34,3.79,6.12233133140423
7578,1.0,Very Good,F,SI2,62.9,56.0,4255,6.36,6.42,4.02,6.418972248637949
7579,1.0,Very Good,F,SI2,59.9,61.0,4255,6.42,6.46,3.86,7.7221400113530505
7580,1.06,Very Good,I,SI1,62.8,56.0,4255,6.47,6.52,4.08,0.8918904415174467
7581,1.0,Premium,F,SI2,61.5,58.0,4255,6.38,6.41,3.93,4.306717386630626
7582,1.0,Very Good,F,SI2,61.6,62.0,4255,6.3,6.37,3.9,7.906371824548749
7583,1.26,Good,J,SI1,63.9,58.0,4255,6.78,6.74,4.32,5.002259373077812
7584,1.02,Ideal,G,SI2,61.4,56.0,4255,6.52,6.47,3.99,4.430019395429764
7585,0.93,Very Good,F,SI1,59.8,58.0,4256,6.32,6.39,3.8,7.670128418617691
7586,1.13,Premium,H,SI1,62.6,60.0,4256,6.68,6.62,4.16,2.6920316418125267
7587,1.0,Fair,E,SI2,65.2,56.0,4256,6.3,6.12,4.05,6.307135412902985
7588,0.91,Premium,E,SI1,62.1,58.0,4256,6.18,6.15,3.83,1.4610899729084936
7589,1.01,Good,E,SI1,63.8,60.0,4256,6.36,6.31,4.04,6.95877884203342
7590,0.91,Good,E,SI1,63.7,64.0,4256,6.09,6.03,3.86,1.309687227684746
7591,0.91,Fair,E,SI1,65.0,62.0,4256,6.09,6.04,3.94,2.198385449493747
7592,1.01,Fair,H,SI1,65.3,57.0,4256,6.33,6.23,4.1,0.09657120470137559
7593,1.0,Ideal,H,SI2,62.6,56.0,4256,6.38,6.34,3.98,7.662850919878011
7594,1.0,Fair,F,SI1,66.4,57.0,4256,6.21,6.14,4.1,1.8741610858096014
7595,1.0,Premium,G,SI1,61.8,59.0,4256,6.43,6.38,3.96,9.064797061576078
7596,0.91,Good,G,VS2,63.6,58.0,4257,6.1,6.14,3.89,5.548651382095202
7597,0.91,Ideal,G,VS2,62.3,57.0,4257,6.18,6.24,3.87,0.7531040107961251
7598,1.04,Good,F,SI2,58.5,61.0,4257,6.63,6.68,3.89,6.266520001972035
7599,1.06,Good,E,SI2,58.8,61.0,4257,6.63,6.67,3.91,7.619254243977116
7600,1.01,Premium,F,SI2,61.8,56.0,4257,6.43,6.38,3.96,5.323428015820938
7601,0.9,Very Good,H,VS2,63.6,58.0,4258,6.1,6.14,3.89,8.067940268336743
7602,0.92,Good,E,SI1,63.7,57.0,4258,6.11,6.14,3.9,2.327339495253095
7603,0.92,Good,E,SI1,63.2,58.0,4258,6.16,6.18,3.9,3.2113646738620005
7604,0.92,Ideal,E,SI1,61.4,54.6,4258,6.25,6.29,3.85,6.64350944068696
7605,0.92,Premium,E,SI1,60.9,59.0,4258,6.25,6.27,3.81,0.4081906430007731
7606,0.73,Ideal,D,VS1,61.9,55.0,4258,5.78,5.81,3.59,7.905655465926364
7607,1.0,Good,E,SI2,61.5,61.0,4258,6.35,6.43,3.93,3.170760576257081
7608,0.84,Very Good,G,VVS2,60.4,55.0,4259,6.07,6.12,3.68,6.5621650265737195
7609,1.11,Ideal,J,SI1,62.1,56.0,4259,6.64,6.67,4.13,5.164681027368437
7610,1.17,Premium,F,SI2,62.5,57.0,4259,6.8,6.71,4.22,1.5805674014898463
7611,0.9,Premium,G,VS2,60.8,61.0,4259,6.22,6.12,3.75,7.0272310635046455
7612,0.9,Premium,E,SI1,62.2,59.0,4259,6.21,6.16,3.88,0.8325112258004563
7613,0.9,Premium,G,VS2,62.1,59.0,4259,6.2,6.14,3.83,1.6920162940849537
7614,1.01,Very Good,D,SI2,60.8,61.0,4260,6.45,6.5,3.94,8.720154922700766
7615,1.01,Premium,G,SI1,59.2,59.0,4260,6.52,6.58,3.88,9.923678577281295
7616,1.01,Very Good,D,SI2,59.8,57.0,4260,6.51,6.57,3.91,2.444845262832187
7617,1.01,Good,D,SI2,57.6,62.0,4260,6.56,6.66,3.81,4.623929147429035
7618,1.01,Good,D,SI2,61.5,56.0,4260,6.36,6.42,3.93,2.9828388436787012
7619,1.01,Very Good,D,SI2,58.9,56.0,4260,6.55,6.59,3.87,2.802938635322816
7620,1.01,Very Good,D,SI2,61.8,57.0,4260,6.42,6.47,3.98,5.674134745301296
7621,1.01,Good,D,SI2,63.1,54.0,4260,6.37,6.43,4.04,6.22327111057412
7622,1.0,Ideal,H,SI2,61.2,57.0,4260,6.42,6.45,3.94,8.18044969683199
7623,1.01,Ideal,G,SI2,61.7,56.0,4260,6.47,6.43,3.98,7.513802226124674
7624,0.9,Ideal,G,SI1,62.5,55.0,4260,6.17,6.21,3.87,6.300834622549245
7625,1.01,Very Good,J,VS1,61.3,57.0,4262,6.43,6.5,3.96,0.4851656311602348
7626,1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93,0.2400645173865612
7627,0.8,Very Good,E,VS2,61.6,57.0,4263,5.95,5.97,3.67,5.5537026195060655
7628,1.01,Fair,I,VS1,64.9,58.0,4263,6.17,6.22,4.02,4.092545388603817
7629,1.09,Ideal,H,SI2,62.0,57.0,4264,6.61,6.55,4.08,1.2122292690792325
7630,0.94,Premium,H,VS2,62.5,58.0,4264,6.26,6.18,3.89,9.187649371910409
7631,0.96,Very Good,G,SI1,60.3,57.0,4265,6.35,6.38,3.84,4.314593506267013
7632,1.0,Fair,E,SI2,65.9,62.0,4265,6.09,6.02,3.99,0.05938170208351967
7633,0.91,Good,D,SI1,64.6,58.0,4265,6.02,6.12,3.92,7.842786251603777
7634,1.11,Premium,J,VS2,62.6,59.0,4265,6.6,6.56,4.12,4.262084530211937
7635,1.0,Good,E,SI2,63.7,61.0,4265,6.27,6.2,3.97,2.4575491807172445
7636,0.93,Ideal,H,VS1,62.7,54.0,4265,6.25,6.2,3.9,7.844093137354932
7637,0.9,Premium,H,VS2,61.7,59.0,4266,6.13,6.19,3.8,0.7068948857382173
7638,1.06,Very Good,I,SI1,60.4,59.0,4267,6.56,6.61,3.98,3.4723822453677053
7639,1.06,Ideal,H,SI2,60.6,59.0,4267,6.63,6.6,4.01,2.3593181261188745
7640,0.91,Ideal,F,SI1,62.3,56.0,4267,6.16,6.19,3.85,7.102227346281474
7641,0.9,Very Good,F,VS2,64.2,59.0,4268,6.07,6.11,3.91,1.6687133228485285
7642,0.8,Premium,G,IF,62.6,58.0,4268,5.89,5.93,3.7,2.4473132930051533
7643,1.03,Very Good,H,SI2,62.3,57.0,4268,6.43,6.48,4.02,7.775129558108223
7644,0.9,Good,F,VS2,65.0,58.0,4268,6.03,6.06,3.93,2.8987810941872016
7645,0.9,Good,F,VS2,64.5,60.0,4268,6.03,6.07,3.9,1.7791263700444515
7646,1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,0.08447343643086191
7647,1.03,Ideal,F,SI2,62.3,56.0,4268,6.51,6.43,4.03,3.9404162205211057
7648,1.01,Premium,G,SI2,60.1,59.0,4269,6.45,6.39,3.86,7.320427774672846
7649,0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81,8.567353485112456
7650,0.9,Very Good,G,VS2,61.9,56.0,4269,6.17,6.23,3.84,0.006304227597165868
7651,0.9,Very Good,G,VS2,61.3,59.0,4269,6.15,6.21,3.79,6.506240493535637
7652,0.9,Very Good,G,VS2,60.9,59.0,4269,6.18,6.24,3.78,7.58189461870677
7653,0.9,Ideal,G,VS2,62.6,57.0,4269,6.14,6.2,3.86,3.186829978060798
7654,0.9,Good,G,VS2,63.6,58.0,4269,6.08,6.12,3.88,1.343723545375728
7655,1.0,Very Good,F,SI2,63.3,58.0,4269,6.26,6.29,3.97,0.488666677319356
7656,0.9,Ideal,F,SI1,61.7,55.0,4269,6.19,6.16,3.81,2.888042512478042
7657,1.01,Ideal,G,SI2,62.8,56.0,4269,6.4,6.44,4.03,4.5128493145249315
7658,1.1,Premium,I,SI2,62.6,59.0,4269,6.57,6.53,4.1,2.231826652383985
7659,1.21,Good,J,SI2,63.7,55.0,4269,6.81,6.75,4.32,1.7093188970108242
7660,1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21,6.021859994360577
7661,1.01,Premium,G,SI2,60.1,60.0,4270,6.48,6.44,3.88,0.5831562200804896
7662,1.01,Very Good,F,SI2,63.4,54.0,4270,6.42,6.39,4.06,8.662813604902782
7663,0.81,Ideal,F,VS1,61.8,55.0,4270,5.97,6.03,3.71,3.1513364883631247
7664,1.06,Ideal,I,SI2,61.8,57.0,4270,6.57,6.6,4.07,8.704516586997622
7665,1.15,Premium,G,SI2,62.7,58.0,4270,6.71,6.69,4.2,9.451457623840685
7666,1.01,Very Good,E,SI2,63.3,57.0,4270,6.39,6.31,4.02,2.9311084728678374
7667,1.01,Very Good,G,SI1,63.5,60.0,4271,6.41,6.38,3.92,9.819776579332146
7668,0.83,Ideal,E,VS2,61.3,56.0,4271,6.06,6.08,3.72,3.8922529883835946
7669,1.13,Premium,I,SI2,59.9,57.0,4271,6.8,6.76,4.06,4.748472743337798
7670,1.11,Very Good,I,SI1,61.9,59.0,4273,6.58,6.64,4.09,7.5612158055969125
7671,1.11,Ideal,I,SI1,62.4,55.0,4273,6.6,6.64,4.13,7.95215112068618
7672,1.0,Very Good,H,SI2,59.7,58.0,4273,6.48,6.55,3.89,6.4519014782552375
7673,1.0,Good,I,SI1,58.0,58.0,4273,6.56,6.62,3.82,9.589596724335523
7674,1.09,Premium,I,SI1,61.7,59.0,4273,6.59,6.53,4.05,0.5694473288096713
7675,1.09,Fair,I,SI1,56.4,62.0,4273,6.97,6.9,3.9,2.6281320287704113
7676,1.02,Premium,G,SI1,61.4,55.0,4273,6.51,6.48,3.99,8.90949273623953
7677,1.2,Very Good,F,SI2,63.3,59.0,4274,6.7,6.66,4.23,9.527508825446212
7678,0.74,Good,D,VVS1,59.2,62.6,4274,5.85,5.87,3.47,9.239770983890253
7679,1.01,Good,H,SI1,64.6,56.0,4274,6.17,6.21,4.0,9.919005608755624
7680,1.18,Premium,J,SI2,61.3,60.0,4274,6.83,6.78,4.17,5.548374765158623
7681,1.0,Ideal,F,SI2,61.8,57.0,4274,6.45,6.36,3.96,9.467117735717295
7682,1.03,Premium,H,SI1,62.4,58.0,4274,6.5,6.42,4.03,1.1117839362261406
7683,0.92,Premium,D,SI1,62.3,58.0,4274,6.27,6.21,3.89,4.249362586716723
7684,1.03,Premium,H,SI1,63.0,59.0,4274,6.43,6.4,4.04,0.4991748824321862
7685,0.96,Premium,D,SI2,60.0,61.0,4274,6.36,6.32,3.81,4.5081113783290485
7686,1.2,Premium,F,SI2,62.7,60.0,4274,6.73,6.67,4.21,7.095466289288309
7687,0.65,Ideal,D,VVS2,60.7,57.0,4275,5.63,5.65,3.42,3.8091667429921783
7688,1.1,Ideal,J,SI1,62.2,55.0,4275,6.62,6.65,4.13,3.8859287011677046
7689,1.01,Premium,F,SI1,62.7,54.0,4276,6.42,6.37,4.01,8.118222259147025
7690,0.9,Very Good,G,VS2,58.4,61.0,4276,6.33,6.38,3.71,9.48632625144765
7691,1.1,Very Good,H,SI1,63.0,58.0,4276,6.53,6.59,4.13,0.12346343345229549
7692,1.1,Very Good,H,SI1,62.1,58.0,4276,6.59,6.61,4.1,6.0828965646365685
7693,1.08,Very Good,I,SI1,60.5,60.0,4276,6.61,6.67,4.02,0.2152242222409284
7694,1.14,Ideal,I,SI2,62.1,55.0,4276,6.71,6.72,4.17,9.960784036019817
7695,1.07,Ideal,J,SI1,62.1,56.0,4276,6.54,6.6,4.08,6.503448140625665
7696,1.0,Good,H,SI1,64.9,56.0,4276,6.24,6.31,4.07,1.5227988330382014
7697,1.01,Good,F,SI1,64.2,58.0,4276,6.33,6.31,4.06,8.75563236115218
7698,1.01,Good,F,SI1,64.1,60.0,4276,6.21,6.16,3.97,2.927516390628515
7699,1.01,Fair,F,SI1,65.9,58.0,4276,6.16,6.1,4.04,8.329800792383176
7700,1.01,Fair,F,SI1,67.2,60.0,4276,6.06,6.0,4.05,1.23031434497763
7701,1.01,Fair,D,SI1,65.9,60.0,4276,6.32,6.18,4.12,7.092693248862904
7702,1.01,Ideal,F,SI1,62.3,55.0,4276,6.38,6.31,3.95,3.1069144348526123
7703,1.12,Premium,E,SI2,62.4,58.0,4277,6.59,6.64,4.13,7.765462336115051
7704,1.29,Fair,G,I1,66.0,58.0,4277,6.82,6.75,4.48,6.595620622260525
7705,0.9,Fair,D,VS2,57.4,65.0,4277,6.26,6.29,3.6,2.358264023629318
7706,1.04,Ideal,G,SI2,62.0,57.0,4277,6.6,6.53,4.07,1.512341342316944
7707,1.04,Premium,G,SI2,60.9,58.0,4277,6.58,6.52,3.99,1.4485358454018105
7708,1.04,Premium,G,SI2,62.9,58.0,4277,6.47,6.43,4.06,2.4686826369874906
7709,0.9,Good,E,VS2,64.0,58.0,4278,6.02,6.07,3.87,0.8913154310662197
7710,1.0,Ideal,J,VS2,61.9,54.0,4278,6.41,6.45,3.98,8.105794408304304
7711,0.33,Ideal,E,SI1,62.0,54.0,579,4.41,4.43,2.74,2.34929527134377
7712,0.33,Ideal,E,SI1,62.5,55.0,579,4.42,4.45,2.77,2.887320374899476
7713,0.33,Premium,H,VS1,59.2,58.0,579,4.5,4.55,2.68,6.144120772265302
7714,0.33,Ideal,G,VS2,61.2,55.0,579,4.46,4.49,2.74,2.875724706127648
7715,0.33,Ideal,E,SI1,61.9,57.0,579,4.43,4.46,2.75,3.459974504990159
7716,0.32,Ideal,G,VS2,61.5,55.0,580,4.39,4.43,2.71,8.500872703816691
7717,0.32,Ideal,H,VS1,61.4,55.0,580,4.43,4.49,2.74,3.401955244041368
7718,0.32,Ideal,H,VS1,61.0,56.0,580,4.43,4.45,2.71,0.1785236447749894
7719,0.26,Premium,F,VS1,59.5,58.0,580,4.22,4.18,2.5,5.414972826741127
7720,0.26,Ideal,F,VS1,62.3,56.0,580,4.1,4.08,2.55,2.346724109269646
7721,0.26,Ideal,F,VS1,60.9,57.0,580,4.13,4.11,2.51,2.221346038237516
7722,0.26,Premium,E,VS1,60.1,60.0,580,4.15,4.1,2.48,3.4654637891378313
7723,0.26,Premium,E,VS2,62.1,56.0,580,4.13,4.11,2.56,9.222432068846727
7724,0.26,Premium,E,VS2,60.4,58.0,580,4.19,4.15,2.52,9.641432500830494
7725,0.26,Ideal,E,VS1,61.8,55.0,580,4.13,4.09,2.54,3.5495001345967268
7726,0.26,Premium,E,VS1,61.9,58.0,580,4.11,4.1,2.54,5.889332318426696
7727,0.26,Ideal,D,VS1,62.0,55.0,580,4.12,4.1,2.55,8.919679444150123
7728,0.35,Ideal,I,SI2,61.6,55.0,580,4.62,4.53,2.82,0.30604975383649813
7729,0.32,Premium,E,VS2,59.3,58.0,580,4.45,4.49,2.65,5.338075209168954
7730,0.3,Very Good,H,VVS2,63.0,56.0,581,4.24,4.27,2.68,1.722283375638718
7731,0.3,Very Good,H,VVS2,62.0,59.0,581,4.27,4.34,2.67,3.4076883930376867
7732,0.3,Very Good,G,VS1,62.6,56.0,581,4.29,4.31,2.69,1.2633073454151011
7733,0.3,Ideal,H,VVS2,62.5,55.0,581,4.29,4.32,2.69,2.9796370248948145
7734,0.3,Ideal,H,VVS2,61.5,56.0,581,4.34,4.38,2.68,0.8438055957738222
7735,0.38,Ideal,D,SI1,62.3,57.0,581,4.6,4.65,2.88,8.880103531089219
7736,0.34,Good,F,SI1,61.9,56.0,581,4.5,4.52,2.79,7.063960769075544
7737,0.43,Premium,H,I1,62.0,59.0,581,4.83,4.78,2.98,3.617508702391098
7738,0.31,Fair,E,VS2,55.9,62.0,581,4.6,4.56,2.56,2.4067180314090173
7739,0.38,Very Good,I,SI1,60.2,60.0,581,4.65,4.68,2.81,3.336290229508194
7740,0.38,Ideal,I,SI1,62.3,56.0,581,4.58,4.63,2.87,8.484197487537426
7741,0.97,Ideal,J,VS1,61.3,57.0,4278,6.37,6.41,3.92,2.6227645985071044
7742,1.07,Premium,G,SI2,58.5,61.0,4278,6.71,6.59,3.89,9.574230891065776
7743,1.07,Premium,G,SI2,59.9,59.0,4278,6.67,6.61,3.98,9.057964206911086
7744,1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,5.673908451279112
7745,1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,1.3221641533352246
7746,1.07,Premium,G,SI2,59.8,60.0,4278,6.7,6.65,3.99,1.9293718663085624
7747,0.91,Good,F,SI1,63.9,55.0,4279,6.1,6.17,3.92,1.995874126142595
7748,0.91,Very Good,F,SI1,59.7,55.0,4279,6.33,6.36,3.79,7.402800126669486
7749,0.61,Ideal,D,VVS1,62.1,56.0,4279,5.46,5.43,3.38,6.717898581628737
7750,1.03,Ideal,F,SI2,61.9,56.0,4280,6.47,6.43,3.99,5.40773478002031
7751,1.02,Ideal,I,VS2,60.8,57.0,4281,6.42,6.5,3.93,7.182864360240584
7752,1.02,Ideal,I,VS2,62.7,56.0,4281,6.37,6.43,4.01,1.2463699735647893
7753,0.92,Very Good,G,SI1,61.8,54.0,4281,6.25,6.37,3.9,7.228321151084077
7754,0.64,Ideal,D,VVS1,61.5,56.0,4281,5.57,5.59,3.43,2.10590499908737
7755,0.98,Fair,G,SI1,64.4,56.0,4281,6.33,6.24,4.03,2.1554832905065915
7756,1.05,Fair,I,VS1,58.9,66.0,4281,6.71,6.6,3.92,1.6372074735202047
7757,1.05,Very Good,E,SI2,63.2,59.0,4281,6.43,6.36,4.04,5.2779526966171675
7758,1.13,Very Good,F,SI2,62.3,59.0,4282,6.65,6.68,4.15,2.012236530612955
7759,1.03,Very Good,F,SI1,62.5,59.0,4282,6.41,6.45,4.02,4.007305428470018
7760,1.03,Ideal,J,VS2,61.6,57.0,4283,6.52,6.47,4.0,3.1225740796182686
7761,1.11,Very Good,J,VS2,61.8,56.0,4283,6.59,6.64,4.09,9.572376009861554
7762,1.1,Very Good,J,SI2,61.8,58.0,4283,6.6,6.63,4.09,0.8187790825086338
7763,1.03,Very Good,H,SI2,62.8,59.0,4283,6.4,6.43,4.03,3.2339218308077156
7764,1.03,Ideal,H,SI2,60.6,56.0,4283,6.53,6.63,3.99,0.10879625058446973
7765,1.11,Premium,F,SI2,62.1,58.0,4283,6.63,6.51,4.1,5.600032696915224
7766,1.07,Premium,E,SI2,60.5,59.0,4284,6.59,6.67,4.01,3.4367182396956517
7767,0.91,Good,G,VS1,63.4,54.0,4284,6.07,6.24,3.9,0.3532443303174071
7768,0.91,Good,G,VS1,63.6,60.0,4284,6.03,6.11,3.86,0.5620048204470218
7769,0.91,Good,G,VS1,63.2,58.0,4284,6.07,6.15,3.86,9.733871119841623
7770,0.81,Premium,D,VS1,62.3,58.0,4284,5.94,6.0,3.72,5.791944652178639
7771,0.91,Very Good,E,SI1,62.1,60.0,4284,6.21,6.25,3.87,7.456563797355548
7772,1.02,Very Good,F,SI2,60.9,58.0,4284,6.43,6.55,3.95,1.0169143524651791
7773,1.0,Premium,G,SI2,61.8,60.0,4284,6.37,6.34,3.93,4.7126389036553675
7774,1.5,Fair,J,I1,68.8,57.0,4284,6.94,6.87,4.75,0.7292764199387491
7775,0.91,Ideal,E,SI1,62.3,57.0,4284,6.21,6.25,3.88,8.511972160492897
7776,1.0,Ideal,G,SI2,62.8,57.0,4284,6.37,6.31,3.98,6.246232976327986
7777,1.02,Very Good,H,SI2,63.1,59.0,4284,6.43,6.37,4.04,8.324265826030947
7778,1.02,Premium,I,SI1,62.7,55.0,4284,6.48,6.41,4.04,8.16610820154409
7779,1.02,Premium,H,SI2,62.5,54.0,4284,6.44,6.4,4.01,7.033018080119541
7780,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,5.658029341544195
7781,0.9,Ideal,F,SI1,61.5,56.0,4284,6.25,6.2,3.83,0.17366696009580296
7782,1.02,Premium,H,SI2,60.9,59.0,4284,6.51,6.46,3.95,6.0029253100191005
7783,1.02,Premium,H,SI2,59.8,59.0,4284,6.54,6.5,3.9,4.88985312606133
7784,1.02,Ideal,H,SI2,61.8,55.0,4284,6.51,6.47,4.01,3.665346291386764
7785,1.02,Premium,F,SI2,60.0,60.0,4284,6.57,6.53,3.93,5.5774659169432095
7786,0.72,Ideal,E,VVS2,62.1,56.0,4285,5.72,5.77,3.57,3.897598494141322
7787,1.01,Good,E,SI2,61.4,64.0,4285,6.29,6.42,3.9,8.902137850760994
7788,1.02,Very Good,E,SI2,58.7,63.0,4286,6.61,6.55,3.86,3.027001854109593
7789,0.9,Very Good,E,SI1,62.9,56.0,4286,6.09,6.12,3.84,6.297339128196844
7790,0.92,Premium,G,VS2,61.6,62.0,4287,6.3,6.24,3.86,1.8042062364174971
7791,0.9,Very Good,E,SI2,59.9,57.0,4288,6.25,6.34,3.77,8.809120637413164
7792,0.71,Good,D,VS2,63.6,54.0,4289,5.7,5.75,3.64,4.96205916039445
7793,0.91,Very Good,E,SI1,63.9,57.0,4289,6.05,6.12,3.89,9.49599646442032
7794,0.9,Very Good,D,SI1,62.1,60.0,4289,6.11,6.19,3.82,5.615382043941422
7795,1.04,Very Good,I,SI1,62.0,57.0,4290,6.47,6.5,4.02,6.705926443711043
7796,1.04,Premium,I,SI1,61.8,60.0,4290,6.47,6.51,4.01,3.5289830961998883
7797,1.04,Ideal,H,SI2,61.1,56.0,4290,6.6,6.66,4.05,5.020940191647845
7798,1.03,Ideal,G,SI2,62.9,57.0,4290,6.37,6.47,4.04,9.367078588393575
7799,1.04,Good,E,SI2,62.3,62.0,4290,6.4,6.44,4.0,4.450630252086025
7800,1.12,Ideal,H,SI1,62.7,56.0,4290,6.66,6.61,4.16,0.03153082768134641
7801,1.02,Ideal,G,SI2,62.7,57.0,4291,6.42,6.44,4.03,1.4914865553621837
7802,1.02,Very Good,G,SI2,62.9,59.0,4291,6.38,6.4,4.02,2.3189147125225364
7803,1.02,Premium,G,SI2,62.5,59.0,4291,6.37,6.42,4.0,8.63014650099845
7804,1.02,Very Good,G,SI2,61.6,61.0,4291,6.46,6.47,3.98,7.136615799059578
7805,0.9,Very Good,D,SI1,61.8,59.0,4291,6.13,6.16,3.8,0.6121296728932912
7806,1.29,Premium,I,SI2,61.1,62.0,4291,7.0,6.94,4.26,4.116318650065232
7807,1.03,Very Good,J,VS1,63.4,58.0,4292,6.36,6.42,4.05,2.8934760404725735
7808,1.05,Very Good,I,SI1,63.5,58.0,4292,6.46,6.43,4.09,4.004442547993444
7809,0.85,Very Good,F,VS1,62.0,55.0,4293,6.08,6.14,3.78,0.11159952488338787
7810,0.56,Ideal,D,IF,61.9,57.0,4293,5.28,5.31,3.28,4.001871876711899
7811,0.91,Premium,H,VS2,60.6,58.0,4293,6.3,6.25,3.8,4.408850711091661
7812,1.18,Very Good,J,SI2,63.5,57.0,4294,6.68,6.74,4.26,4.108950055163238
7813,1.13,Premium,H,SI2,62.3,59.0,4294,6.68,6.65,4.15,8.263611386012307
7814,1.01,Very Good,J,SI1,62.2,57.0,4295,6.35,6.39,3.96,3.8032110573788867
7815,1.0,Ideal,H,SI2,59.4,55.0,4295,6.59,6.65,3.93,1.4474602830854333
7816,1.0,Very Good,D,SI2,61.5,63.0,4295,6.32,6.27,3.87,9.367736369377717
7817,1.0,Good,D,SI2,57.8,58.0,4295,6.61,6.55,3.8,6.9829438675596105
7818,1.0,Very Good,D,SI2,63.5,59.0,4295,6.35,6.32,4.02,1.7539592313596353
7819,1.0,Fair,G,SI1,64.4,57.0,4295,6.32,6.28,4.06,9.180431934302682
7820,1.0,Very Good,G,SI1,63.1,56.0,4295,6.41,6.31,4.01,6.334368063890366
7821,1.0,Fair,G,SI1,66.2,58.0,4295,6.25,6.15,4.11,7.598362982362423
7822,1.0,Very Good,D,SI2,63.3,60.0,4295,6.29,6.19,3.95,8.90355096325356
7823,1.0,Premium,D,SI2,60.3,58.0,4295,6.48,6.45,3.9,7.17494395624931
7824,1.0,Premium,D,SI2,60.8,60.0,4295,6.45,6.41,3.91,5.248462926986438
7825,0.9,Very Good,G,VS2,60.5,60.0,4296,6.2,6.24,3.76,1.4438907173087456
7826,0.9,Good,G,VS2,61.5,61.0,4296,6.18,6.21,3.81,8.638195451422611
7827,1.02,Ideal,H,SI2,60.5,57.0,4297,6.52,6.56,3.95,4.449174993142362
7828,0.9,Very Good,G,VS1,62.4,58.0,4297,6.14,6.16,3.84,0.10175869054375952
7829,0.93,Premium,F,SI1,62.3,58.0,4297,6.22,6.18,3.86,7.721032744692726
7830,0.91,Good,H,VS1,63.4,56.0,4298,6.12,6.18,3.9,1.7921251621097134
7831,1.01,Very Good,F,SI2,61.8,56.0,4298,6.43,6.38,3.96,6.878678281546325
7832,1.01,Premium,E,SI1,61.6,59.0,4299,6.44,6.42,3.96,1.8759284367305062
7833,1.01,Very Good,E,SI2,63.4,59.0,4299,6.32,6.26,3.99,1.74716818781817
7834,1.01,Very Good,F,SI2,63.2,58.0,4299,6.43,6.3,4.02,3.537278782409121
7835,1.01,Very Good,F,SI2,63.3,57.0,4299,6.39,6.37,4.04,9.249190983028877
7836,1.01,Ideal,G,SI2,61.5,57.0,4299,6.5,6.42,3.97,5.059174508364955
7837,1.2,Very Good,I,SI1,63.1,61.0,4301,6.65,6.58,4.18,7.068599371081038
7838,1.2,Premium,H,SI2,60.8,59.0,4301,6.8,6.75,4.12,9.23521129921155
7839,0.96,Ideal,G,SI1,63.0,53.0,4301,6.24,6.21,3.92,3.236884648957281
7840,1.01,Good,F,SI2,61.5,62.0,4302,6.41,6.46,3.96,1.4960722077372335
7841,1.13,Ideal,E,SI2,62.4,56.0,4303,6.66,6.63,4.15,6.2575392384314235
7842,0.91,Very Good,D,SI1,62.8,57.0,4303,6.12,6.17,3.86,9.802136118618975
7843,1.02,Very Good,H,SI2,59.7,58.0,4303,6.53,6.57,3.91,6.559990532398659
7844,1.09,Premium,J,VS1,59.3,57.0,4303,6.79,6.74,4.01,0.8551459692607843
7845,0.77,Very Good,F,VVS1,61.1,57.0,4304,5.91,5.94,3.62,3.219202557976537
7846,0.93,Very Good,E,SI1,62.8,56.0,4304,6.19,6.24,3.9,8.423226589536137
7847,0.8,Very Good,E,VVS2,62.9,59.0,4304,5.88,5.95,3.72,2.5116455235253046
7848,1.01,Very Good,F,SI2,59.1,57.0,4304,6.57,6.62,3.9,4.270122782134932
7849,0.9,Ideal,D,SI1,60.7,57.0,4304,6.23,6.16,3.76,8.250572396109506
7850,0.9,Very Good,D,SI1,63.3,57.0,4304,6.12,6.07,3.86,6.518589609386616
7851,0.9,Premium,D,SI1,61.2,60.0,4304,6.19,6.14,3.77,9.147831118243184
7852,0.9,Premium,D,SI1,62.7,56.0,4304,6.16,6.12,3.85,6.705025724357265
7853,0.9,Premium,D,SI1,61.5,58.0,4304,6.21,6.15,3.8,6.91279568015028
7854,0.9,Very Good,D,SI1,61.0,63.0,4304,6.13,6.1,3.73,1.7927180657051467
7855,0.9,Very Good,D,SI1,63.5,57.0,4304,6.15,6.11,3.89,1.5994832885567867
